Qty,PartID,Description,Orders_Number
10,NMC1034,NXT Magnetic Compass Sensor,3406261
10,NSK1042,NXT IRSeeker  V2,3406261
10,NSX2020,HiTechnic Sensor Multiplexer,3406261
2,NEO1048,NXT EOPD Sensor,3406262-1
2,NGY1044,NXT Gyro Sensor,3406262-1
15,IRB1005,HiTechnic Infrared Electronic Ball,3406262-1
20,NMC1034,NXT Magnetic Compass Sensor,3406262-1
20,NSK1042,NXT IRSeeker  V2,3406262-1
20,NWS1000,NXT Extended Connector Cable Set,3406262-1
2,NPA1058,HiTechnic Experimenter's Kit A,3406263
100,NIR1032,NXT IR Receiver,3406264
3,NPA1058,HiTechnic Experimenter's Kit A,3406266
4,NSX2020,HiTechnic Sensor Multiplexer,3406266
10,NWS1000,NXT Extended Connector Cable Set,3406266
2,NGY1044,NXT Gyro Sensor,3406267
2,NIL1046,NXT IRLink Sensor,3406267
2,NIR1032,NXT IR Receiver,3406267
2,NMC1034,NXT Magnetic Compass Sensor,3406267
2,NSX2020,HiTechnic Sensor Multiplexer,3406267
4,NCO1038,NXT Color Sensor V2,3406267
1,NAC1040,NXT Accelerometer Sensor,3406269
1,NCO1038,NXT Color Sensor V2,3406269
1,NGY1044,NXT Gyro Sensor,3406269
1,NMC1034,NXT Magnetic Compass Sensor,3406269
2,NPA1058,HiTechnic Experimenter's Kit A,3406271
20,NCO1038,NXT Color Sensor V2,3406271
0,NCO1038,NXT Color Sensor V2,3406272-1
30,NIL1046,NXT IRLink Sensor,3406272-1
50,NGY1044,NXT Gyro Sensor,3406272-1
150,IRB1005,HiTechnic Infrared Electronic Ball,3406272-1
250,NAC1040,NXT Accelerometer Sensor,3406272-1
250,NMC1034,NXT Magnetic Compass Sensor,3406272-1
250,NSK1042,NXT IRSeeker  V2,3406272-1
120,NWS1000,NXT Extended Connector Cable Set,3406273
10,NAC1040,NXT Accelerometer Sensor,3406274
10,NCO1038,NXT Color Sensor V2,3406274
10,NGY1044,NXT Gyro Sensor,3406274
10,NIL1046,NXT IRLink Sensor,3406274
10,NMC1034,NXT Magnetic Compass Sensor,3406274
10,NSK1042,NXT IRSeeker  V2,3406274
1,NCO1038,NXT Color Sensor V2,3406275
1,NGY1044,NXT Gyro Sensor,3406275
5,NAC1040,NXT Accelerometer Sensor,3406275
1,NCO1038,NXT Color Sensor V2,3406277
5,NAC1040,NXT Accelerometer Sensor,3406277
1,NGY1044,NXT Gyro Sensor,3406279
5,IRB1005,HiTechnic Infrared Electronic Ball,3406279
5,NIL1046,NXT IRLink Sensor,3406279
7,NCO1038,NXT Color Sensor V2,3406279
10,NMC1034,NXT Magnetic Compass Sensor,3406279
10,NSK1042,NXT IRSeeker  V2,3406279
22,NAC1040,NXT Accelerometer Sensor,3406279
2,NCO1038,NXT Color Sensor V2,3406280
5,NSK1042,NXT IRSeeker  V2,3406280
0,NCO1038,NXT Color Sensor V2,3406281
20,NAC1040,NXT Accelerometer Sensor,3406281
20,NMC1034,NXT Magnetic Compass Sensor,3406281
0,NAC1040,NXT Accelerometer Sensor,3406282
0,NEO1048,NXT EOPD Sensor,3406282
200,NTX1060,NXT Touch Sensor Multiplexer,3406282
150,NTX1060,NXT Touch Sensor Multiplexer,3406283
25,NMC1034,NXT Magnetic Compass Sensor,3406284
30,NCO1038,NXT Color Sensor V2,3406284
300,NMC1034,NXT Magnetic Compass Sensor,3406285
5,NMC1034,NXT Magnetic Compass Sensor,3406286
10,NAC1040,NXT Accelerometer Sensor,3406286
10,NGY1044,NXT Gyro Sensor,3406286
30,NCO1038,NXT Color Sensor V2 **  Inv 3406270  (paid),3406286
35,NCO1038,NXT Color Sensor V2,3406286
120,NWS1000,NXT Extended Connector Cable Set,3406287
1,NMC1034,NXT Magnetic Compass Sensor,3406288
1,NSK1042,NXT IRSeeker  V2,3406288
2,NGY1044,NXT Gyro Sensor,3406288
10,NEO1048,NXT EOPD Sensor,3406290
11,NGY1044,NXT Gyro Sensor,3406290
1,NWS1010,Extend Cable Set Pack (40 pcs),3406291
2,NSX2020,HiTechnic Sensor Multiplexer,3406291
3,NTX1060,NXT Touch Sensor Multiplexer,3406291
4,NSK1042,NXT IRSeeker  V2,3406291
6,NGY1044,NXT Gyro Sensor,3406291
10,NMC1034,NXT Magnetic Compass Sensor,3406291
12,NAC1040,NXT Accelerometer Sensor,3406291
17,NCO1038,NXT Color Sensor V2,3406291
1,NWS1010,Extend Cable Set Pack (40 pcs),3406292
10,NCO1038,NXT Color Sensor V2,3406292
16,NGY1044,NXT Gyro Sensor,3406292
26,NAC1040,NXT Accelerometer Sensor,3406292
10,IRB1005,HiTechnic Infrared Electronic Ball,3406293
50,NEO1048,NXT EOPD Sensor,3406293
50,NGY1044,NXT Gyro Sensor,3406293
50,NMC1034,NXT Magnetic Compass Sensor,3406293
75,NSX2020,HiTechnic Sensor Multiplexer,3406294
30,NCO1038,NXT Color Sensor V2,3406295
350,NCO1038,NXT Color Sensor V2,3406296
1,NCO1038,NXT Color Sensor V2,3406297
2,NGY1044,NXT Gyro Sensor,3406297
3,NEO1048,NXT EOPD Sensor,3406297
3,NIR1032,NXT IR Receiver,3406297
3,NMC1034,NXT Magnetic Compass Sensor,3406297
5,IRB1005,HiTechnic Infrared Electronic Ball,3406298
5,NMC1034,NXT Magnetic Compass Sensor,3406298
20,NEO1048,NXT EOPD Sensor,3406298
20,NGY1044,NXT Gyro Sensor,3406298
20,NSK1042,NXT IRSeeker  V2,3406298
30,NAC1040,NXT Accelerometer Sensor,3406298
1,NPA1058,HiTechnic Experimenter's Kit A,3406299
1,NSX2020,HiTechnic Sensor Multiplexer,3406299
150,NGY1044,NXT Gyro Sensor,3406299
30,NMC1034,NXT Magnetic Compass Sensor,3406300
40,NCO1038,NXT Color Sensor V2,3406300
60,NSK1042,NXT IRSeeker  V2,3406300
200,NGY1044,NXT Gyro Sensor,3406301
150,NAC1040,NXT Accelerometer Sensor,3406302
2,NSX2020,HiTechnic Sensor Multiplexer,3406303
0,IRB1005,HiTechnic Infrared Electronic Ball,3406304
0,NSK1042,NXT IRSeeker  V2,3406304
200,NCO1038,NXT Color Sensor V2,3406304
200,NMC1034,NXT Magnetic Compass Sensor,3406304
2,NPK1056,NXT Prototyping Sensor Kit,3406305
5,NPS1055,NXT Solderless Prototype Sensor,3406305
7,NSX2020,HiTechnic Sensor Multiplexer,3406305
0,NCO1038,NXT Color Sensor V2,3406307
200,NAC1040,NXT Accelerometer Sensor,3406307
200,NMC1034,NXT Magnetic Compass Sensor,3406307
200,NSK1042,NXT IRSeeker  V2,3406307
1,NIL1046,NXT IRLink Sensor,3406308
20,NAC1040,NXT Accelerometer Sensor,3406309
20,NMC1034,NXT Magnetic Compass Sensor,3406309
30,NCO1038,NXT Color Sensor V2,3406309
150,NGY1044,NXT Gyro Sensor,3406309
10,NPK1056,NXT Prototyping Sensor Kit,3406310
0,NAC1040,NXT Accelerometer Sensor,3406311
0,NMC1034,NXT Magnetic Compass Sensor,3406311
0,NSK1042,NXT IRSeeker  V2,3406311
200,NCO1038,NXT Color Sensor V2,3406311
200,NGY1044,NXT Gyro Sensor,3406312
200,NMC1034,NXT Magnetic Compass Sensor,3406312
50,NCO1038,NXT Color Sensor V2,3406313
2,NPA1058,HiTechnic Experimenter's Kit A,3406314
2,NTX1060,NXT Touch Sensor Multiplexer,3406314
5,NCO1038,NXT Color Sensor V2,3406314
5,NMC1034,NXT Magnetic Compass Sensor,3406314
10,NAC1040,NXT Accelerometer Sensor,3406314
10,NGY1044,NXT Gyro Sensor,3406314
22,NSX2020,HiTechnic Sensor Multiplexer,3406314
100,NWS1000,NXT Extended Connector Cable Set,3406316
10,IRB1005,HiTechnic Infrared Electronic Ball,3406317
10,NSK1042,NXT IRSeeker  V2,3406317
20,NCO1038,NXT Color Sensor V2,3406317
100,NEO1048,NXT EOPD Sensor,3406318
10,NSX2020,HiTechnic Sensor Multiplexer,3406319
3,NEO1048,NXT EOPD Sensor,3406320
30,IRB1005,HiTechnic Infrared Electronic Ball,3406323
200,NGY1044,NXT Gyro Sensor,3406325
3,NMC1034,NXT Magnetic Compass Sensor,3406327
30,NCO1038,NXT Color Sensor V2,3406328
30,NWS1000,NXT Extended Connector Cable Set,3406328
40,NAC1040,NXT Accelerometer Sensor,3406328
40,NMC1034,NXT Magnetic Compass Sensor,3406328
150,NGY1044,NXT Gyro Sensor,3406328
6,NCO1038,NXT Color Sensor V2,3406331
5,NAC1040,NXT Accelerometer Sensor,3406332
5,NEO1048,NXT EOPD Sensor,3406332
5,NMC1034,NXT Magnetic Compass Sensor,3406332
10,NGY1044,NXT Gyro Sensor,3406332
10,NIL1046,NXT IRLink Sensor,3406332
10,NWS1000,NXT Extended Connector Cable Set,3406333
11,NAC1040,NXT Accelerometer Sensor,3406333
11,NCO1038,NXT Color Sensor V2,3406333
11,NIL1046,NXT IRLink Sensor,3406333
11,NSK1042,NXT IRSeeker  V2,3406333
11,NTX1060,NXT Touch Sensor Multiplexer,3406333
12,NMC1034,NXT Magnetic Compass Sensor,3406333
1,NGY1044,NXT Gyro Sensor,3406334
2,NIR1032,NXT IR Receiver,3406334
10,NWS1000,NXT Extended Connector Cable Set,3406335
11,NAC1040,NXT Accelerometer Sensor,3406335
11,NCO1038,NXT Color Sensor V2,3406335
11,NIL1046,NXT IRLink Sensor,3406335
11,NSK1042,NXT IRSeeker  V2,3406335
11,NTX1060,NXT Touch Sensor Multiplexer,3406335
12,NMC1034,NXT Magnetic Compass Sensor,3406335
200,NAC1040,NXT Accelerometer Sensor,3406340
200,NCO1038,NXT Color Sensor V2,3406340
200,NAC1040,NXT Accelerometer Sensor,3406341
80,NMC1034,NXT Magnetic Compass Sensor,3406342
80,NSK1042,NXT IRSeeker  V2,3406342
1,NCO1038,NXT Color Sensor V2,3406343
1,NGY1044,NXT Gyro Sensor,3406343
2,NAC1040,NXT Accelerometer Sensor,3406343
2,NEO1048,NXT EOPD Sensor,3406343
4,NIR1032,NXT IR Receiver,3406343
4,NMC1034,NXT Magnetic Compass Sensor,3406343
4,NSK1042,NXT IRSeeker  V2,3406343
5,NIL1046,NXT IRLink Sensor,3406343
1,NCO1038,NXT Color Sensor V2,3406344
1,NEO1048,NXT EOPD Sensor,3406344
1,NIL1046,NXT IRLink Sensor,3406344
1,NMC1034,NXT Magnetic Compass Sensor,3406344
1,NSK1042,NXT IRSeeker  V2,3406344
2,NAC1040,NXT Accelerometer Sensor,3406344
3,NGY1044,NXT Gyro Sensor,3406344
3,NIR1032,NXT IR Receiver,3406344
200,NMC1034,NXT Magnetic Compass Sensor,3406345
8,NTX1060,NXT Touch Sensor Multiplexer,3406346
10,NAC1040,NXT Accelerometer Sensor,3406346
30,NCO1038,NXT Color Sensor V2,3406346
40,IRB1005,HiTechnic Infrared Electronic Ball,3406346
40,NSK1042,NXT IRSeeker  V2,3406346
1,NSK1042,NXT IRSeeker  V2,3406347
5,NSX2020,HiTechnic Sensor Multiplexer,3406348
6,NCO1038,NXT Color Sensor V2,3406348
10,NMC1034,NXT Magnetic Compass Sensor,3406348
5,IRB1005,HiTechnic Infrared Electronic Ball,3406349
5,NAC1040,NXT Accelerometer Sensor,3406349
5,NEO1048,NXT EOPD Sensor,3406349
5,NGY1044,NXT Gyro Sensor,3406349
5,NIL1046,NXT IRLink Sensor,3406349
5,NMC1034,NXT Magnetic Compass Sensor,3406349
5,NTX1060,NXT Touch Sensor Multiplexer,3406349
30,NCO1038,NXT Color Sensor V2,3406350
150,NMS1035,NXT Magnetic Sensor,3406352
120,NWS1000,NXT Extended Connector Cable Set,3406353
2,NSK1042,NXT IRSeeker  V2,3406356
4,NSX2020,HiTechnic Sensor Multiplexer,3406357
6,NIL1046,NXT IRLink Sensor,3406357
6,NSK1042,NXT IRSeeker  V2,3406357
9,NWS1000,NXT Extended Connector Cable Set,3406357
10,NAC1040,NXT Accelerometer Sensor,3406357
10,NMC1034,NXT Magnetic Compass Sensor,3406357
11,NGY1044,NXT Gyro Sensor,3406357
15,NCO1038,NXT Color Sensor V2,3406357
25,NPK1056,NXT Prototyping Sensor Kit,3406357
3,FTCSET,FTC IR Beacon Set Master & Slave,3406361
3,NMS1035,NXT Magnetic Sensor,3406361
4,IRB1005,HiTechnic Infrared Electronic Ball,3406362
4,NSK1042,NXT IRSeeker  V2,3406362
5,NCO1038,NXT Color Sensor V2,3406362
5,NMC1034,NXT Magnetic Compass Sensor,3406362
1,NAC1040,NXT Accelerometer Sensor,3406363
1,NGY1044,NXT Gyro Sensor,3406363
1,NSK1042,NXT IRSeeker  V2,3406363
2,FTCBCN,FTC IR Beacon Master,3406364
6,IRB1005,HiTechnic Infrared Electronic Ball,3406365
30,NSK1042,NXT IRSeeker  V2,3406365
0,NCO1038,NXT Color Sensor V2,3406366
200,NGY1044,NXT Gyro Sensor,3406366
200,NMC1034,NXT Magnetic Compass Sensor,3406366
40,NWS1000,NXT Extended Connector Cable Set,3406367
50,NCO1038,NXT Color Sensor V2,3406367
50,NMC1034,NXT Magnetic Compass Sensor,3406367
50,NSK1042,NXT IRSeeker  V2,3406367
5,NTX1060,NXT Touch Sensor Multiplexer,3406368
10,NSX2020,HiTechnic Sensor Multiplexer,3406368
15,NAC1040,NXT Accelerometer Sensor,3406368
15,NGY1044,NXT Gyro Sensor,3406368
15,NSK1042,NXT IRSeeker  V2,3406368
20,NCO1038,NXT Color Sensor V2,3406368
20,NMC1034,NXT Magnetic Compass Sensor,3406368
30,NEO1048,NXT EOPD Sensor,3406368
50,NSK1042,NXT IRSeeker  V2,3406369
2,NPK1056,NXT Prototyping Sensor Kit,3406370
15,IRB1005,HiTechnic Infrared Electronic Ball,3406371
120,NWS1000,NXT Extended Connector Cable Set,3406372
0,NCO1038,NXT Color Sensor V2,3406373
0,NMC1034,NXT Magnetic Compass Sensor,3406373
20,NSK1042,NXT IRSeeker  V2,3406373
210,IRB1005,HiTechnic Infrared Electronic Ball,3406373
2,NPS1055,NXT Solderless Prototype Sensor,3406374
1,NAC1040,NXT Accelerometer Sensor,3406376
1,NMS1035,NXT Magnetic Sensor,3406376
20,NMC1034,NXT Magnetic Compass Sensor,3406377
200,NAC1040,NXT Accelerometer Sensor,3406379
200,NCO1038,NXT Color Sensor V2,3406379
200,NGY1044,NXT Gyro Sensor,3406379
200,NIL1046,NXT IRLink Sensor,3406379
200,NMC1034,NXT Magnetic Compass Sensor,3406379
200,NSK1042,NXT IRSeeker  V2,3406379
1,IRB1005,HiTechnic Infrared Electronic Ball,3406380
2,NMC1034,NXT Magnetic Compass Sensor,3406380
2,NSK1042,NXT IRSeeker  V2,3406380
1,NMS1035,NXT Magnetic Sensor,3406382
1,NSX2020,HiTechnic Sensor Multiplexer,3406382
1,NCO1038,NXT Color Sensor V2,3406386
1,NMS1035,NXT Magnetic Sensor,3406386
1,NSK1042,NXT IRSeeker  V2,3406386
1,NSX2020,HiTechnic Sensor Multiplexer,3406386
2,FTCBCN,FTC IR Beacon Master,3406386
2,NMC1034,NXT Magnetic Compass Sensor,3406387
2,NSK1042,NXT IRSeeker  V2,3406387
1,NAC1040,NXT Accelerometer Sensor,3406388
25,NPK1056,NXT Prototyping Sensor Kit,3406389
10,FTCBCN,FTC IR Beacon Master,3406390
10,NSX2020,HiTechnic Sensor Multiplexer,3406390
15,NCO1038,NXT Color Sensor V2,3406390
20,NPK1056,NXT Prototyping Sensor Kit,3406390
25,NEO1048,NXT EOPD Sensor,3406390
25,NGY1044,NXT Gyro Sensor,3406390
40,IRB1005,HiTechnic Infrared Electronic Ball,3406390
40,NAA1030,NXT Angle Sensor,3406390
40,NMS1035,NXT Magnetic Sensor,3406390
60,NAC1040,NXT Accelerometer Sensor,3406390
80,NIL1046,NXT IRLink Sensor,3406390
100,NSK1042,NXT IRSeeker  V2,3406390
140,NMC1034,NXT Magnetic Compass Sensor,3406390
1,FTCBCN,FTC IR Beacon Master,3406392
150,NMS1035,NXT Magnetic Sensor,3406394
1,NCO1038,NXT Color Sensor V2,3406397
1,NMC1034,NXT Magnetic Compass Sensor,3406397
1,NSK1042,NXT IRSeeker  V2,3406397
2,NAC1040,NXT Accelerometer Sensor,3406397
2,NGY1044,NXT Gyro Sensor,3406397
1,NSX2020,HiTechnic Sensor Multiplexer,3406398
1,NAC1040,NXT Accelerometer Sensor,3406399
1,NGY1044,NXT Gyro Sensor,3406399
1,NMS1035,NXT Magnetic Sensor,3406399
1,NSK1042,NXT IRSeeker  V2,3406399
2,NSK1042,NXT IRSeeker  V2,3406400
2,FTCSET,FTC IR Beacon Set Master & Slave,3406401
2,FTCBCN,FTC IR Beacon Master,3406407
2,NCO1038,NXT Color Sensor V2,3406407
2,NGY1044,NXT Gyro Sensor,3406407
2,NMC1034,NXT Magnetic Compass Sensor,3406407
2,NMS1035,NXT Magnetic Sensor,3406407
2,NSK1042,NXT IRSeeker  V2,3406407
2,NSX2020,HiTechnic Sensor Multiplexer,3406407
1,NAC1040,NXT Accelerometer Sensor,3406412
1,NMS1035,NXT Magnetic Sensor,3406412
200,NCO1038,NXT Color Sensor V2,3406415
200,NEO1048,NXT EOPD Sensor,3406415
1,NCO1038,NXT Color Sensor V2,3406416
2,FTCBCN,FTC IR Beacon Master,3406417
0,NSX2020,HiTechnic Sensor Multiplexer,3406419
120,NWS1000,NXT Extended Connector Cable Set,3406419
200,NCO1038,NXT Color Sensor V2,3406419
1,NIL1046,NXT IRLink Sensor,3406420
23,NSK1042,NXT IRSeeker  V2,3406421
2,NSK1042,NXT IRSeeker  V2,3406422
1,FTCBCN,FTC IR Beacon Master,3406424
1,NMS1035,NXT Magnetic Sensor,3406424
1,NSK1042,NXT IRSeeker  V2,3406424
2,NWS1000,NXT Extended Connector Cable Set,3406424
3,FTCSET,FTC IR Beacon Set Master & Slave,3406425
23,NSK1042,NXT IRSeeker  V2,3406427
1,NMS1035,NXT Magnetic Sensor,3406428
6,NAC1040,NXT Accelerometer Sensor,3406430
12,NMC1034,NXT Magnetic Compass Sensor,3406430
16,NEO1048,NXT EOPD Sensor,3406430
0,NSX2020,HiTechnic Sensor Multiplexer ( back Ordered),3406431
1,NWS1010,Extend Cable Set Pack (40 pcs),3406431
10,NMC1034,NXT Magnetic Compass Sensor,3406431
10,NTX1060,NXT Touch Sensor Multiplexer,3406431
16,NAC1040,NXT Accelerometer Sensor,3406431
16,NEO1048,NXT EOPD Sensor,3406431
16,NGY1044,NXT Gyro Sensor,3406431
1,IRB1005,HiTechnic Infrared Electronic Ball,3406433
1,NMC1034,NXT Magnetic Compass Sensor,3406433
1,NSK1042,NXT IRSeeker  V2,3406433
2,NGY1044,NXT Gyro Sensor,3406433
0,IRB1005,HiTechnic Infrared Electronic Ball,3406434
0,NCO1038,NXT Color Sensor V2,3406434
0,NMC1034,NXT Magnetic Compass Sensor,3406434
150,NMS1035,NXT Magnetic Sensor,3406434
180,NSK1042,NXT IRSeeker  V2,3406434
200,NAA1030,NXT Angle Sensor,3406434
150,NMS1035,NXT Magnetic Sensor,3406435
1,FTCBCN,FTC IR Beacon Master,3406436
1,NGY1044,NXT Gyro Sensor,3406436
1,NMS1035,NXT Magnetic Sensor,3406436
5,IRB1005,HiTechnic Infrared Electronic Ball,3406443
10,NAC1040,NXT Accelerometer Sensor,3406443
10,NGY1044,NXT Gyro Sensor,3406443
10,NMC1034,NXT Magnetic Compass Sensor,3406443
20,NSK1042,NXT IRSeeker  V2,3406443
200,NGY1044,NXT Gyro Sensor,3406444
1,NMS1035,NXT Magnetic Sensor,3406445
2,FTCBCN,FTC IR Beacon Master,3406445
1,NAC1040,NXT Accelerometer Sensor,3406446
1,NMS1035,NXT Magnetic Sensor,3406446
1,NSK1042,NXT IRSeeker  V2,3406446
2,FTCBCN,FTC IR Beacon Master,3406446
1,FTCBCN,FTC IR Beacon Master,3406450
1,NSK1042,NXT IRSeeker  V2,3406450
2,FTCSET,FTC IR Beacon Set Master & Slave,3406451
12,FTCBCN,FTC IR Beacon Master,3406451
12,NMS1035,NXT Magnetic Sensor,3406451
1,FTCSET,FTC IR Beacon Set Master & Slave,3406452
2,NMS1035,NXT Magnetic Sensor,3406452
2,NSK1042,NXT IRSeeker  V2,3406452
5,NSK1042,NXT IRSeeker  V2,3406454B
10,NEO1048,NXT EOPD Sensor,3406454B
10,NWS1000,NXT Extended Connector Cable Set,3406454B
4,NCO1038,NXT Color Sensor V2,3406455
10,NWS1010,Extend Cable Set Pack (40 pcs),3406455
20,NAC1040,NXT Accelerometer Sensor,3406455
20,NEO1048,NXT EOPD Sensor,3406455
20,NMC1034,NXT Magnetic Compass Sensor,3406455
20,NSK1042,NXT IRSeeker  V2,3406455
0,IRB1005,HiTechnic Infrared Electronic Ball,3406456
8,NAA1030,NXT Angle Sensor,3406456
8,NMS1035,NXT Magnetic Sensor,3406456
200,NAC1040,NXT Accelerometer Sensor,3406457
200,NMC1034,NXT Magnetic Compass Sensor,3406457
1,NMC1034,NXT Magnetic Compass Sensor,3406458
1,NSX2020,HiTechnic Sensor Multiplexer,3406458
1,NAA1030,NXT Angle Sensor,3406466
1,NAC1040,NXT Accelerometer Sensor,3406466
1,NCO1038,NXT Color Sensor V2,3406466
1,NEO1048,NXT EOPD Sensor,3406466
1,NGY1044,NXT Gyro Sensor,3406466
1,NMC1034,NXT Magnetic Compass Sensor,3406466
1,NMS1035,NXT Magnetic Sensor,3406466
1,NSX2020,HiTechnic Sensor Multiplexer,3406466
1,NWS1000,NXT Extended Connector Cable Set,3406466
